Body Excerpt,Actual Subject,Base Model,Fine-tuned Model
"We have received executed EEI Master Power Purchase and Sale Agreements from the referenced CPs dated 5/2/01 and 6/15/01, respectively.  Copies will b...",Carolina Power & Light Company and Florida Power Corporation,EEI Master Power Purchase and Sale Agreements have been executed. Copies will be given to legal and credit.,EEI Master Power Purchase and Sale Agreement
"Attached is the Joint Defense Agreement from Shook, Hardy & Bacon with my 
comments in redline. This agreement was sent to us to allow Enron access to...",JOINT DEFENSE AGREEMENT.WPD,the joint defense agreement was sent to us to allow Enron access to the Power Systems' attorney's opinion regarding whether the proposed redesign might inf,Joint Defense Agreement
"yes



	Richard Shapiro
	02/26/2001 01:34 PM
		 
		 To: Steven J Kean/NA/Enron@Enron
		 cc: 
		 Subject: Northeast Water Plant

Do we still want this?...",Northeast Water Plant,the HAWC and the Northeast Water Plant are on the infrastructure committee's agenda tomorrow at Houston City Council. I am concerned about the proposed Az,Northeast Water Plant
"I am very interested in pursuing this and I believe Enron presents an ideal 
case study for the purposes you outlined.  I am copying Christie Patrick ...",Possible Harvard Business School event,"we are currently finalizing our plans for the Entrepreneurial Manager course. as part of the course, we will feature an entrepreneurial company as the cap",Possible Harvard Business School event
"Dear AvantGo User,

Thank you for your interest in The Wall Street Journal Online. Below
is the URL and your special pass code to receive a free 30-da...",AvantGo  (KMM463353C0KM),The Wall Street Journal Online offers free 30-day trial to WSJ.com. you can become a subscriber for only $59 per year,The Wall Street Journal Online
"John,

Can you be my reviewer for the Performace Evaluation Process. I worked on adding Asian model (calendar days) into PortCalc. 

I know you are ve...",Asian model - calendar days,I worked on adding Asian model (calendar days) into PortCalc. I'll have to have several reviewers from users we support,Asian model - calendar days
"Hello, Michelle!
 
You came and spoke to my new hire class last Monday. I have a pending book deal with Zondervan publishing and wanted to make sure t...",can we talk briefly?,the book will draw on my leadership/team-building experiences in the church. it will have nothing to do with Enron.,Zondervan Publishing pending book deal
"---------------------- Forwarded by Vince J Kaminski/HOU/ECT on 10/26/2000 
05:21 PM ---------------------------
   
	Enron Capital & Trade Resources ...",Message from Anjam S Ahmad,------------------ Enron Capital & Trade Resources Corp. - Europe From anjam Ahmad 10/26/2000 04,Enron Capital & Trade Resources Corp.
"----- Forwarded by Cindy Derecskey/Corp/Enron on 10/26/2000 06:32 AM -----

	""John Martin"" <J_Martin@baylor.edu>
	10/25/2000 06:58 PM
		 
		 To: <Cind...",Message from John Martin,"forwarded by Cindy Derecskey/Corp/Enron on 10/26/2000 06:32 AM. ""John Martin",Enron Case Study
"Home and cell phone number are correct.  I do not have a pager.  --Sally 




Christie Connell@ENRON
07/05/2000 04:10 PM
To: Sally Beck/HOU/ECT@ECT
cc...",Phone # verification,Sally Christie Connell@ENRON 07/05/2000 04:10 PM. I am updating Rick Causey's contact cards.,Phone # verification
"As requested at the meeting, the last couple years of history of our ethane content has been analyzed.  The data provided by Denis Alters were for fou...",Ethane Content Various Locations July 99 thur July 01,"the data provided by Denis Alters were for four locations: Perry from the West Leg side, Perry from the old or East Leg side, Brooker",Data provided by Denis Alters
"As a followup to our discussion last week, attached is cash flow activity within Enron Americas for the month of June on a daily basis through June 25...",Daily Direct Cash Flows,BROKER DEPOSITS NYMEX Deposits Net: ($13.0mm) OTC Broker Deposits Net: ($693mm,Daily Direct Cash Flows
Couple thoughts.  Understanding that we're really trying to get this thing done and that there's a million different ornaments one could hang on the t...,Protecting Our Claim from the PUC' Clutches,the judge is either going to approve the settlement or cede to arguments the PUC could make. it would help alot if PG,Edison and PG&E agree to take our side at the PUC
"Here are my comments:

Assignment Language:
in (i) ""WestLB"" should be changed to ""Purchaser""
in (ii) - although this is a business point I think it is...",ABB Agreement for Review,"""WestLB"" should be changed to ""Purchaser"" in (ii) this is not a GE requirement and it is",ABB Agreement for Review
"Peggy Hedstrom will be out of the office from March 1 - 11 for vacation. Our 
spring break week is March 13, so I have sent Peggy a note asking about ...",Canadian Promotions/Trip,peggy Hedstrom will be out of the office from March 1 - 11 for vacation. our spring break week is March 13 so I have,Canadian Promotions/Trip
"Vikki Gates
Structure Consulting Group
vikki.gates@scgo.com
cell: 512.350.4020
@ERCOT: 512.248.3884


 - 161_189.zip...",PIP Items --Email 3 of 4,Vikki Gates Structure Consulting Group cell: 512.350.4020 @ERCOT: 512.248.3884 - 16,Vikki Gates Structure Consulting
"Diane 

I connection with the copies of the Confirmation(s) you provided to me the other day -- the following Counterparty may also have confirmation(...",Confirmation Documents,the Counterparty may also have confirmations for trades. please provide a copy of all confirmations for those trades.,Confirmation(s)
"Stephanie,  I would suggest modifying Section 9.4 as follows:

9.4  Addendum 1, attached to this Agreement, the bid procedures under which 
the transp...",El Paso Contract Revision,"section 9.4 addendum 1, attached to this Agreement, is incorporated by reference as part of this Agreement, solely for informational purposes only.",9.4 Addendum 1
"thank you very much for th info.


   
	Enron North America Corp.
	
	From:  V Charles Weldon                           08/28/2000 10:54 AM
	

To: John...",Floating LNG Terminal,"a proposed design for an LNG floating terminal by the Italian company,Tecnomare. it is estimated that construction of such a vessel would take","Floating LNG Terminal Folks,"
"Constance Trantow
230 N. Owen Dr.
Madison, WI 53705
cbt@medicine.wisc.edu

To Mr. Ken Lay,

I'm writing to urge you to donate the millions of dollars ...",Demand Ken Lay Donate Proceeds from Enron Stock Sales,"constance Trantow, 230 N. Owen Dr. Madison, WI 53705 cbt@medicine.wisc.e",Constance Trantow 230 N. Owen Dr.
"What is your thought on this.  Since we've taken our customers back, this c=
ould be dangerous -- but it has already been filed.  Can you see any way ...",ABAG Petition for Modification of D.01-05-064,c= ould be dangerous -- but it has already been filed. can you see any way it= moght help? ,Enron Corp.
